Wall time,Step,Value
1662817368.693302,0,1.046875
1662817369.48918,1,0.640625
1662817370.249523,2,0.046875
1662817370.990629,3,0.125
1662817371.761626,4,0.40625
1662817372.526395,5,0.359375
1662817373.295608,6,0.265625
1662817374.090193,7,0.234375
1662817374.859537,8,0.09375
1662817375.611818,9,0.421875
1662817376.357609,10,0.28125
1662817377.126019,11,0.53125
1662817377.894806,12,0.328125
1662817378.650027,13,0.234375
1662817379.40588,14,0.609375
1662817380.143079,15,0.84375
1662817380.89595,16,0.3125
1662817381.660852,17,0.34375
1662817382.446589,18,0.4375
1662817383.208698,19,0.171875
1662817383.975839,20,0.484375
1662817384.72293,21,0.421875
1662817385.441573,22,0.671875
1662817386.154671,23,0.125
1662817386.914199,24,0.5
1662817387.687856,25,0.390625
1662817388.461543,26,0.34375
1662817389.239331,27,0.578125
1662817390.008793,28,0.109375
1662817390.780414,29,0.25
1662817391.566194,30,0.171875
1662817392.337027,31,0.109375
1662817393.112557,32,0.421875
1662817393.880611,33,0.265625
1662817394.669497,34,0.3125
1662817395.450642,35,0.578125
1662817396.226518,36,0.53125
1662817397.004527,37,0.421875
1662817397.77825,38,0.625
1662817398.530212,39,0.484375
1662817399.280076,40,0.3125
1662817400.071414,41,0.453125
1662817400.851172,42,0.375
1662817401.618779,43,0.421875
1662817402.38985,44,0.140625
1662817403.150408,45,0.390625
1662817403.928256,46,0.53125
1662817404.699016,47,0.4375
1662817405.473402,48,0.34375
1662817406.247168,49,0.140625
1662817407.020707,50,0.171875
1662817407.805381,51,0.265625
1662817408.581672,52,0.015625
1662817409.337149,53,0.328125
1662817410.110343,54,0.109375
1662817410.876695,55,0.25
1662817411.650813,56,0.046875
1662817412.466577,57,0.109375
1662817413.235052,58,0.0625
1662817414.000247,59,0.203125
1662817414.762067,60,0.109375
1662817415.517021,61,0.03125
1662817416.290377,62,0.09375
1662817417.033448,63,0.03125
1662817417.79459,64,0.25
1662817418.591386,65,0.234375
1662817419.366914,66,0.046875
1662817420.145344,67,0.1875
