Wall time,Step,Value
1663263262.2837656,1,9.0
1663263262.4699214,2,5.25
1663263262.6552453,3,5.0
1663263262.836196,4,5.5
1663263263.012261,5,4.0
1663263263.2153842,6,5.0
1663263263.3928978,7,8.0
1663263263.575651,8,9.75
1663263263.7705696,9,10.0
1663263263.959543,10,8.25
1663263264.1438923,11,4.5
1663263264.3367214,12,10.5
1663263264.5227783,13,10.5
1663263264.708218,14,5.0
1663263264.8935304,15,1.0
1663263265.077287,16,11.25
1663263265.2599418,17,5.5
1663263265.4363754,18,5.0
1663263265.6185758,19,3.75
1663263265.8078346,20,8.25
1663263265.9895554,21,11.5
1663263266.180577,22,13.0
1663263266.3669972,23,5.0
1663263266.5646152,24,2.5
1663263266.7507432,25,7.25
1663263266.927845,26,6.75
1663263267.1085808,27,7.25
1663263267.2984045,28,6.25
1663263267.4836833,29,3.75
1663263267.6704097,30,3.0
1663263267.851053,31,3.5
1663263268.0427673,32,7.25
1663263268.226674,33,6.25
1663263268.4095433,34,7.25
1663263268.6008673,35,5.75
1663263268.8014097,36,8.25
1663263268.989914,37,9.75
1663263269.1752203,38,4.25
1663263269.3655872,39,15.0
1663263269.555096,40,7.5
1663263269.7358813,41,12.75
1663263269.9204807,42,9.75
1663263270.1101458,43,13.5
1663263270.3075097,44,9.25
1663263270.5034723,45,10.5
1663263270.6730685,46,10.5
1663263270.8587153,47,8.75
1663263271.039206,48,2.0
1663263271.2131374,49,7.75
1663263271.4032195,50,10.0
1663263278.7370157,51,7.0
1663263278.9110596,52,12.5
1663263279.0973363,53,5.25
1663263279.2790115,54,8.25
1663263279.4779947,55,12.25
1663263279.6636605,56,10.25
1663263279.850349,57,9.25
1663263280.0447316,58,11.0
1663263280.230563,59,10.25
1663263280.4301841,60,10.75
1663263280.6215515,61,9.5
1663263280.8082244,62,3.0
1663263280.9902022,63,5.75
1663263281.1788666,64,15.0
1663263281.359632,65,12.75
1663263281.5602822,66,6.75
1663263281.751966,67,9.5
1663263281.9322112,68,5.5
1663263282.1201582,69,4.25
1663263282.3062565,70,4.0
1663263282.5023816,71,4.5
1663263282.6771817,72,5.75
1663263282.8692217,73,12.5
1663263283.0503364,74,6.5
1663263283.238624,75,8.5
1663263283.432605,76,9.75
1663263283.627694,77,18.0
1663263283.820041,78,3.75
1663263284.0188932,79,5.25
1663263284.20249,80,11.25
1663263284.4027355,81,11.75
1663263284.6021845,82,14.25
1663263284.793533,83,4.5
1663263284.9791903,84,7.0
1663263285.1624029,85,7.75
1663263285.350621,86,8.5
1663263285.5389547,87,7.5
1663263285.7247028,88,10.0
1663263285.9098861,89,7.5
1663263286.0976462,90,7.75
1663263286.2789452,91,4.25
1663263286.4533603,92,4.25
1663263286.6538196,93,9.25
1663263286.8435104,94,19.0
1663263287.0317967,95,7.75
1663263287.2128563,96,15.75
1663263287.4057784,97,10.25
1663263287.608587,98,10.5
1663263287.7948546,99,10.75
1663263287.9844985,100,4.5
1663263294.0398617,101,14.75
1663263294.2588682,102,14.25
1663263294.4715602,103,9.25
1663263294.69217,104,10.25
1663263294.885892,105,5.25
1663263295.0745463,106,8.5
1663263295.2694232,107,11.25
1663263295.4645715,108,6.5
1663263295.6588314,109,5.0
1663263295.8780015,110,10.0
1663263296.0632226,111,11.75
1663263296.2485075,112,7.0
1663263296.428687,113,10.5
1663263296.6319125,114,11.25
1663263296.8283496,115,5.0
1663263297.0212595,116,5.25
1663263297.2351992,117,12.25
1663263297.421247,118,10.75
1663263297.6125531,119,11.5
1663263297.8606813,120,10.75
1663263298.0873485,121,7.5
1663263298.3085876,122,7.25
1663263298.503745,123,7.5
1663263298.6965184,124,8.25
1663263298.8983238,125,4.25
1663263299.095534,126,4.25
1663263299.2912166,127,11.5
1663263299.4857416,128,5.5
1663263299.683486,129,8.0
1663263299.884242,130,14.5
1663263300.0765123,131,7.75
1663263300.2732277,132,4.5
1663263300.4617915,133,9.75
1663263300.6583705,134,2.75
1663263300.8684368,135,5.25
1663263301.0647101,136,4.25
1663263301.2752736,137,3.75
1663263301.4731708,138,15.75
1663263301.6681561,139,4.75
1663263301.88272,140,6.5
