Wall time,Step,Value
1663268735.7236314,1,3.75
1663268736.2533357,2,6.0
1663268736.8014598,3,5.75
1663268737.2892048,4,6.5
1663268737.8927567,5,2.0
1663268738.356385,6,3.5
1663268738.819158,7,2.25
1663268739.2911935,8,7.0
1663268739.7798545,9,3.5
1663268740.0939515,10,6.5
1663268740.324343,11,3.75
1663268740.5612738,12,1.5
1663268740.8482757,13,4.75
1663268741.2446303,14,2.25
1663268741.6788032,15,10.75
1663268741.977781,16,2.75
1663268742.2169027,17,7.5
1663268742.4720755,18,5.0
1663268742.7361703,19,3.25
1663268742.9759429,20,4.75
1663268743.2217178,21,2.25
1663268743.4559057,22,0.75
1663268743.7122686,23,3.0
1663268743.940988,24,3.75
1663268744.165271,25,4.25
1663268744.4230287,26,7.5
1663268744.6840825,27,6.5
1663268744.9327102,28,1.5
1663268745.168224,29,2.25
1663268745.4201546,30,5.0
1663268745.6933606,31,3.5
1663268745.9696083,32,1.5
1663268746.2183692,33,9.0
1663268746.4639432,34,3.75
1663268746.717367,35,6.25
1663268746.9733276,36,8.0
1663268747.2080681,37,5.75
1663268747.4528546,38,3.5
1663268747.6921933,39,4.0
1663268747.9498563,40,4.75
1663268748.2002695,41,4.75
1663268748.4477417,42,0.75
1663268748.699547,43,7.5
1663268748.917703,44,0.5
1663268749.1688037,45,3.75
1663268749.423792,46,4.75
1663268749.6890383,47,3.75
1663268749.9603426,48,1.25
1663268750.2179422,49,5.5
1663268750.4483187,50,5.75
1663268760.8060646,51,6.0
1663268761.0329883,52,11.5
1663268761.2838612,53,4.0
1663268761.5302393,54,6.5
1663268761.7931144,55,2.25
1663268762.04234,56,5.25
1663268762.303883,57,3.5
1663268762.5564916,58,3.75
1663268762.7811637,59,3.0
1663268763.043673,60,9.5
1663268763.3003283,61,3.0
1663268763.5468183,62,5.25
1663268763.795286,63,4.0
1663268764.0437582,64,4.25
1663268764.322039,65,3.5
1663268764.5657556,66,3.0
1663268764.8068016,67,4.0
1663268765.0660896,68,2.75
1663268765.3158543,69,1.0
1663268765.5738308,70,4.5
1663268765.825723,71,3.0
1663268766.070635,72,5.75
1663268766.332058,73,3.25
1663268766.6031764,74,7.75
1663268766.84562,75,4.25
1663268767.111928,76,10.25
1663268767.3988066,77,6.5
1663268767.6621118,78,13.5
1663268767.9055545,79,9.75
1663268768.1544912,80,0.75
1663268768.409856,81,5.0
1663268768.678837,82,4.75
1663268768.9216452,83,9.5
1663268769.1525366,84,7.25
1663268769.4276178,85,5.25
1663268769.6897705,86,2.25
1663268769.9471934,87,8.5
1663268770.171308,88,3.0
1663268770.4426336,89,5.0
1663268770.691734,90,10.0
1663268770.954701,91,4.25
1663268771.2118037,92,6.25
1663268771.4688573,93,12.5
1663268771.7138388,94,3.75
1663268771.9417539,95,3.25
1663268772.1939843,96,2.25
1663268772.4407496,97,11.5
1663268772.7155902,98,5.75
1663268772.9466977,99,2.25
1663268773.1956928,100,5.25
1663268780.8638527,101,1.5
1663268781.1236784,102,5.75
1663268781.3852904,103,2.0
1663268781.6786332,104,9.75
1663268781.9489143,105,6.5
1663268782.2226052,106,3.5
1663268782.5122542,107,2.5
1663268782.7639213,108,4.75
1663268783.0208597,109,7.0
1663268783.3108077,110,5.0
1663268783.6056406,111,6.0
1663268783.875054,112,4.75
1663268784.1612108,113,3.5
1663268784.4297535,114,3.25
1663268784.695861,115,8.25
1663268784.9866035,116,9.0
1663268785.2783496,117,8.25
1663268785.55257,118,4.0
1663268785.813198,119,0.25
1663268786.1148472,120,9.5
1663268786.4186933,121,7.0
1663268786.7208774,122,11.25
1663268786.9688466,123,2.0
1663268787.2450511,124,8.0
1663268787.5016906,125,4.25
1663268787.7510104,126,1.75
1663268788.0112464,127,5.5
1663268788.2745361,128,2.25
1663268788.5492134,129,4.5
1663268788.8405778,130,5.5
1663268789.0696883,131,2.0
1663268789.3102717,132,6.5
1663268789.6040227,133,10.0
1663268789.8612323,134,6.75
1663268790.155423,135,4.25
1663268790.548789,136,7.25
1663268790.950803,137,5.25
1663268791.3803334,138,7.5
1663268791.825586,139,9.25
1663268792.255404,140,8.75
1663268792.6199055,141,2.75
1663268793.0588064,142,2.0
1663268793.454323,143,2.25
1663268793.8932939,144,1.5
1663268794.2627366,145,11.25
1663268794.7070658,146,8.25
1663268795.0504727,147,2.5
1663268795.3416545,148,3.25
1663268795.6180365,149,11.75
1663268795.8778698,150,4.25
1663268804.217604,151,4.25
1663268804.563252,152,4.25
1663268804.8676665,153,7.75
1663268805.1888218,154,10.75
1663268805.5252333,155,3.25
1663268805.9707277,156,3.0
1663268806.2345915,157,4.5
1663268806.5100868,158,3.75
1663268806.8066466,159,4.75
1663268807.1323514,160,7.5
1663268807.428405,161,3.5
1663268807.7912092,162,6.75
1663268808.1387577,163,11.25
1663268808.5805159,164,11.75
1663268808.9367154,165,6.0
1663268809.263436,166,6.25
1663268809.522606,167,2.75
1663268809.8502805,168,2.5
1663268810.1284153,169,4.0
1663268810.4064775,170,2.5
1663268810.7287178,171,9.75
1663268810.9976964,172,6.0
1663268811.3314033,173,9.5
1663268811.6214502,174,2.5
1663268811.895036,175,12.0
1663268812.1800942,176,4.0
1663268812.5200622,177,4.75
1663268812.8424437,178,5.5
1663268813.1746795,179,8.25
1663268813.526513,180,2.75
1663268813.8293269,181,0.25
1663268814.1859531,182,5.5
1663268814.743361,183,3.5
1663268815.0876665,184,2.0
1663268815.4429433,185,5.75
1663268815.7633877,186,5.25
1663268816.082424,187,6.25
1663268816.3690166,188,5.5
1663268816.6442947,189,3.0
1663268816.9203637,190,3.5
1663268817.2386386,191,5.75
1663268817.5827622,192,6.25
1663268817.9991057,193,9.5
1663268818.2853281,194,6.5
1663268818.6028457,195,2.25
1663268818.9512825,196,8.0
1663268819.3701699,197,8.0
1663268819.741214,198,0.75
1663268820.058239,199,6.0
1663268820.279831,200,7.25
1663268827.8735251,201,2.5
1663268828.1777432,202,4.0
1663268828.520438,203,3.75
1663268828.8969758,204,1.25
1663268829.2449775,205,2.75
1663268829.5572093,206,4.5
1663268829.8321118,207,4.25
1663268830.237923,208,5.75
1663268830.5309737,209,6.5
1663268830.8249154,210,5.0
1663268831.2022238,211,10.5
1663268831.6275365,212,3.25
1663268831.9536982,213,5.5
1663268832.3375247,214,7.0
1663268832.640788,215,0.5
1663268832.9788096,216,7.25
1663268833.4018323,217,5.75
1663268833.7100575,218,5.0
1663268834.0768247,219,5.0
1663268834.5847256,220,3.5
1663268834.9178774,221,3.5
1663268835.2362192,222,0.25
1663268835.9350905,223,4.75
1663268836.2135887,224,2.75
1663268837.0519888,225,4.25
1663268837.4877276,226,2.25
1663268837.784752,227,0.0
1663268838.217966,228,4.75
1663268838.5227437,229,4.75
1663268838.8914611,230,1.75
1663268839.404549,231,7.75
1663268839.7066488,232,3.0
1663268839.9758372,233,2.25
1663268840.3607411,234,2.75
1663268840.7435381,235,9.25
1663268841.0289037,236,4.5
1663268841.3708248,237,2.5
1663268841.6952438,238,3.0
1663268841.9590666,239,4.25
1663268842.1891632,240,4.0
1663268842.4911332,241,4.75
1663268842.751713,242,4.5
1663268843.1512647,243,3.0
1663268843.4923358,244,2.25
1663268843.9703066,245,6.25
1663268844.4284213,246,0.5
1663268844.7344873,247,3.25
1663268845.163022,248,4.5
1663268845.467832,249,9.5
1663268845.8102396,250,4.5
1663268853.6303551,251,7.75
1663268853.9029424,252,5.25
1663268854.2045093,253,2.5
1663268854.5912714,254,3.75
1663268854.9348063,255,4.0
1663268855.1702971,256,7.25
1663268855.6073494,257,2.25
1663268855.9498525,258,7.0
1663268856.4021494,259,1.5
1663268856.72912,260,13.5
1663268857.0304766,261,0.75
1663268857.287106,262,9.5
1663268857.7104812,263,10.0
1663268858.1767807,264,4.0
1663268858.469728,265,4.5
1663268858.8957174,266,5.25
1663268859.2476122,267,3.5
1663268859.6387136,268,6.0
1663268859.9587126,269,5.5
1663268860.3607101,270,8.25
1663268860.838809,271,5.25
1663268861.187669,272,3.25
1663268861.601339,273,4.5
1663268861.8921146,274,4.5
1663268862.3133643,275,5.75
1663268862.7129033,276,2.25
1663268863.156296,277,6.25
1663268863.580103,278,4.0
1663268864.1315684,279,3.75
1663268864.4651537,280,8.0
1663268864.944005,281,2.25
1663268865.2978637,282,2.0
1663268865.6274748,283,8.75
1663268866.0773704,284,6.75
1663268866.453187,285,5.25
1663268866.736845,286,9.5
1663268867.535223,287,8.5
1663268867.9633024,288,6.5
1663268868.361158,289,4.25
1663268868.7312078,290,2.75
1663268869.1684508,291,2.0
1663268869.6965246,292,6.0
1663268870.2014053,293,2.75
1663268870.596993,294,0.5
1663268871.0952325,295,11.5
1663268871.376981,296,3.5
1663268871.674445,297,3.75
1663268872.0037403,298,6.0
1663268872.320405,299,6.75
1663268872.747795,300,5.25
1663268880.4430509,301,4.0
1663268880.918048,302,1.25
1663268881.3037736,303,2.25
1663268881.741494,304,11.25
1663268882.308605,305,4.0
1663268882.6223614,306,1.25
1663268883.0790536,307,5.5
1663268883.6629043,308,6.0
1663268884.2200882,309,3.5
1663268884.6019914,310,7.0
1663268884.9254916,311,5.25
1663268885.3257756,312,6.25
1663268885.863583,313,2.0
1663268886.512064,314,6.75
1663268886.8304334,315,4.0
1663268887.2472272,316,2.5
1663268887.6088228,317,4.0
1663268888.0385041,318,1.75
1663268888.7062418,319,5.5
1663268889.224265,320,5.25
1663268889.883904,321,4.25
1663268891.1623237,322,8.75
1663268891.665091,323,5.5
1663268892.181935,324,4.0
1663268892.7288203,325,4.0
1663268893.1450622,326,5.0
1663268893.4335997,327,3.75
1663268896.1008768,328,7.5
1663268896.738993,329,7.75
1663268897.08364,330,5.25
1663268897.3971639,331,4.75
1663268897.7580717,332,11.25
1663268898.3087456,333,4.25
1663268898.6917965,334,3.75
1663268899.2740042,335,3.5
1663268899.8100438,336,1.0
1663268900.1248322,337,3.25
1663268900.4766493,338,5.5
1663268901.0881236,339,2.75
1663268901.3464227,340,2.25
1663268901.6661427,341,5.0
1663268902.1070244,342,5.0
1663268902.544688,343,4.0
1663268903.0887012,344,4.5
1663268903.5011983,345,0.25
1663268904.4528463,346,4.0
1663268904.7998521,347,4.75
1663268906.4314504,348,7.5
1663268907.4645808,349,9.5
1663268907.7812166,350,4.0
1663268916.0573156,351,4.75
1663268916.8725984,352,6.5
1663268917.3259413,353,1.0
1663268917.9692168,354,5.0
1663268918.825863,355,8.25
1663268919.47634,356,6.25
1663268919.966464,357,4.25
1663268920.5188415,358,3.0
1663268921.2506125,359,14.0
1663268922.210329,360,4.5
1663268922.7717443,361,6.0
1663268923.3405473,362,9.0
1663268923.913147,363,3.25
1663268924.4157288,364,0.0
1663268925.7159479,365,2.75
1663268926.7086992,366,6.5
1663268927.7786312,367,1.75
1663268928.3964589,368,4.0
1663268929.0170414,369,5.0
1663268929.4706771,370,10.25
1663268930.4281132,371,4.5
1663268930.9974663,372,6.0
1663268931.5699522,373,2.25
1663268932.039037,374,2.25
1663268932.636269,375,9.25
1663268933.0823693,376,5.0
1663268933.9091902,377,8.0
1663268934.6880639,378,4.25
1663268935.0353463,379,8.5
1663268935.7372892,380,5.25
1663268936.2952378,381,3.0
1663268936.8559477,382,7.75
1663268937.2954175,383,3.25
1663268938.1340451,384,11.5
1663268938.4777713,385,1.5
1663268938.9933364,386,5.25
1663268939.6471481,387,2.75
1663268940.2353714,388,6.5
1663268940.7063134,389,6.0
1663268941.6184454,390,6.25
1663268942.3604925,391,2.5
1663268943.2101512,392,6.25
1663268947.424329,393,3.75
1663268947.982616,394,0.75
1663268948.8554826,395,2.5
1663268949.566972,396,3.5
1663268950.4886277,397,0.25
1663268951.1332345,398,3.0
1663268951.9446654,399,6.25
1663268952.511127,400,7.75
1663268960.818591,401,7.75
1663268961.4723737,402,5.5
1663268962.1013365,403,2.25
1663268963.1147366,404,4.75
1663268964.1750286,405,5.0
1663268965.3605242,406,5.75
1663268966.2924206,407,4.0
1663268968.3641715,408,1.25
1663268970.2420373,409,9.75
1663268971.5963147,410,2.75
1663268973.5968938,411,3.0
1663268974.1547196,412,4.75
1663268974.9115748,413,8.25
1663268975.9921772,414,4.5
1663268976.9303875,415,4.5
1663268978.2003136,416,8.75
1663268979.1223829,417,2.25
1663268979.9992497,418,3.25
1663268982.4402263,419,3.5
1663268983.8129992,420,1.0
1663268985.1453874,421,5.75
1663268986.357314,422,2.5
1663268987.4800282,423,6.5
1663268988.2439497,424,10.25
1663268989.0625331,425,8.5
1663268989.9953382,426,4.0
1663268991.250347,427,5.75
1663268992.6731825,428,2.5
1663268994.8828282,429,6.25
1663269000.5228734,430,2.75
1663269002.2212145,431,10.5
1663269003.70357,432,6.75
1663269004.4285312,433,6.0
1663269005.7032824,434,3.75
1663269006.2597868,435,1.75
1663269007.2614841,436,2.25
1663269008.2571983,437,7.0
1663269008.6254869,438,3.25
1663269009.4702349,439,9.25
1663269010.1935782,440,1.75
1663269011.2647567,441,3.75
1663269015.7539723,442,3.25
1663269016.5579946,443,7.75
1663269017.377876,444,6.25
1663269018.9979641,445,9.25
1663269022.6655838,446,7.5
1663269023.8452454,447,6.25
1663269024.5629823,448,4.0
1663269025.961944,449,6.5
1663269027.2160408,450,2.75
1663269036.4130733,451,9.25
1663269036.9620335,452,3.5
1663269038.615886,453,5.75
1663269040.5379665,454,5.0
1663269042.0878725,455,4.75
1663269043.2910724,456,3.0
1663269043.9727793,457,3.5
1663269044.6861956,458,3.5
1663269045.5824234,459,5.75
1663269046.9400563,460,5.5
1663269077.3814566,461,9.0
1663269078.4192343,462,5.25
1663269079.3595273,463,3.75
1663269085.4895318,464,11.0
1663269088.4030225,465,9.0
1663269089.6116636,466,6.25
1663269090.4652169,467,0.75
1663269093.3938477,468,6.75
1663269095.1018758,469,8.5
1663269096.0948477,470,4.25
1663269100.2377303,471,5.0
1663269100.9203148,472,4.75
1663269101.7038436,473,2.75
1663269118.5827765,474,4.25
1663269119.7017584,475,2.5
1663269120.6414366,476,2.75
1663269125.4453926,477,5.0
1663269130.7937093,478,9.75
1663269131.8923512,479,5.5
1663269132.799303,480,0.5
1663269133.78144,481,6.5
1663269134.4895916,482,2.0
1663269135.557127,483,6.25
1663269153.7846723,484,7.0
1663269178.2092092,485,6.0
1663269179.5160537,486,3.75
1663269180.2680736,487,9.25
1663269181.120433,488,5.25
1663269182.1171634,489,4.0
1663269183.0036788,490,6.0
1663269183.6535823,491,2.75
1663269184.6259181,492,5.25
1663269202.083446,493,5.25
1663269202.771747,494,2.0
1663269207.5607753,495,9.25
1663269209.0296786,496,2.25
1663269212.89199,497,3.5
1663269218.0309625,498,6.0
1663269218.793881,499,7.5
1663269219.3929753,500,1.75
