Wall time,Step,Value
1663323228.2216215,1,15.0
1663323228.529794,2,11.75
1663323228.8324752,3,10.25
1663323229.1916552,4,7.75
1663323229.6462102,5,9.0
1663323229.9987316,6,9.25
1663323230.3572145,7,14.0
1663323230.7018952,8,9.5
1663323231.1841905,9,9.25
1663323231.6322398,10,9.0
1663323231.9794626,11,13.5
1663323232.4789498,12,14.0
1663323232.8397536,13,9.75
1663323233.2722254,14,9.25
1663323233.603483,15,1.75
1663323233.8900409,16,10.75
1663323234.077831,17,19.0
1663323234.2687523,18,11.25
1663323234.4450383,19,7.5
1663323234.6284652,20,18.0
1663323234.826406,21,9.25
1663323235.006407,22,9.25
1663323235.1740327,23,10.5
1663323235.3460186,24,16.75
1663323235.520278,25,12.5
1663323235.692934,26,11.0
1663323235.870674,27,19.5
1663323236.0428123,28,18.0
1663323236.2312315,29,8.25
1663323236.4192224,30,14.5
1663323236.6117558,31,10.25
1663323236.8158672,32,13.5
1663323236.9952424,33,9.75
1663323237.1856174,34,12.25
1663323237.3850436,35,14.75
1663323237.578343,36,13.5
1663323237.750786,37,7.5
1663323237.9465714,38,26.0
1663323238.118731,39,11.25
1663323238.3096983,40,10.75
1663323238.5008667,41,7.75
1663323238.7054715,42,8.25
1663323239.0119314,43,13.75
1663323239.2702248,44,7.5
1663323239.5667734,45,6.75
1663323239.8434913,46,11.75
1663323240.141196,47,16.75
1663323240.4416,48,7.25
1663323240.732856,49,9.75
1663323241.0359526,50,6.0
1663323249.0787296,51,16.0
1663323249.2652805,52,7.25
1663323249.4374108,53,9.25
1663323249.627645,54,9.0
1663323249.8069313,55,16.25
1663323249.9703193,56,5.75
1663323250.1658642,57,16.5
1663323250.3390822,58,5.75
1663323250.5176744,59,18.0
1663323250.7001674,60,10.25
1663323250.873019,61,1.25
1663323251.0653353,62,9.75
1663323251.2713811,63,19.75
1663323251.4701824,64,6.25
1663323251.6542006,65,10.75
1663323251.8370442,66,9.5
1663323252.0195715,67,5.5
1663323252.2066584,68,10.0
1663323252.3904316,69,6.5
1663323252.5681684,70,5.75
1663323252.7580607,71,14.0
1663323252.9370341,72,9.75
1663323253.1262197,73,5.75
1663323253.302244,74,13.25
1663323253.4848049,75,13.25
1663323253.6662471,76,19.25
1663323253.8405962,77,10.75
1663323254.03253,78,7.5
1663323254.2311344,79,19.75
1663323254.4114938,80,15.25
1663323254.6043684,81,16.5
1663323254.7814963,82,8.0
1663323254.9740958,83,6.75
1663323255.1652334,84,12.75
1663323255.346909,85,10.75
1663323255.5360932,86,8.75
1663323255.7214725,87,9.25
1663323255.9048615,88,9.0
1663323256.0881941,89,18.25
1663323256.2707505,90,8.0
1663323256.4537055,91,12.75
1663323256.6506872,92,9.75
1663323256.839199,93,10.0
1663323257.0131822,94,4.5
1663323257.2005527,95,12.0
1663323257.393528,96,12.75
1663323257.5740554,97,8.25
1663323257.7418995,98,13.75
1663323257.936263,99,9.0
1663323258.1195533,100,10.75
1663323263.568678,101,1.5
1663323263.753899,102,12.0
1663323263.9473722,103,12.0
1663323264.1310492,104,7.5
1663323264.362403,105,10.5
1663323264.5412421,106,14.0
1663323264.7195332,107,16.25
1663323264.937867,108,12.5
1663323265.115407,109,17.0
1663323265.2961366,110,17.25
1663323265.4889407,111,8.0
1663323265.6677504,112,3.5
1663323265.8362262,113,14.0
1663323266.0365536,114,6.5
1663323266.238418,115,10.75
1663323266.413509,116,8.0
1663323266.5967004,117,20.25
1663323266.8584907,118,8.5
1663323267.0415595,119,3.75
1663323267.2708154,120,7.75
1663323267.486238,121,7.5
1663323267.6790378,122,9.0
